gaia_id,hostname,pl_name,ra,dec
"Gaia DR2 2130434384481265408","Kepler-1528","Kepler-1528 b",287.4029864,46.5740084
"Gaia DR2 2133285383772329344","Kepler-596","Kepler-596 b",289.5006797,51.6857106
"Gaia DR2 2134950078738454016","Kepler-1036","Kepler-1036 b",295.1817093,49.9458172
"Gaia DR2 2052567623840745216","Kepler-767","Kepler-767 b",291.5791562,38.0358066
"Gaia DR2 2076565908231148928","Kepler-1589","Kepler-1589 b",294.4418236,40.5716114
"Gaia DR2 2080067749681845504","Kepler-345","Kepler-345 b",295.2288521,45.9710432
"Gaia DR2 2073655432234604288","Kepler-1930","Kepler-1930 b",297.5771450,40.0276768
"Gaia DR2 2127781228564883456","Kepler-1175","Kepler-1175 b",289.1426847,46.8129656
"Gaia DR2 2919760965879179136","HD 47186","HD 47186 b",99.0367212,-27.6234285
"Gaia DR2 2073153024144692736","Kepler-1487","Kepler-1487 c",295.4980737,38.6444499
"Gaia DR2 2106412082639238400","Kepler-730","Kepler-730 b",285.5547895,45.5788420
"Gaia DR2 2126415051008325376","Kepler-349","Kepler-349 b",293.6764689,44.6155972
"Gaia DR2 2116740104595955328","Kepler-1477","Kepler-1477 b",281.2985305,42.6856727
,"OGLE-2018-BLG-1011L","OGLE-2018-BLG-1011L c",269.0140000,-29.0828889
"Gaia DR2 2078832551450444032","Kepler-251","Kepler-251 e",296.5662171,44.1058077
"Gaia DR2 2106496607595412480","Kepler-1126","Kepler-1126 b",285.6919550,45.6893993
"Gaia DR2 2076943796633684352","Kepler-501","Kepler-501 b",297.2014919,41.7301534
"Gaia DR2 2128151660905893504","Kepler-1766","Kepler-1766 b",294.2772343,46.6752351
"Gaia DR2 2132681339572129536","Kepler-594","Kepler-594 b",288.9217259,49.7620237
"Gaia DR2 2077485271747441280","Kepler-173","Kepler-173 b",294.6466171,41.8840952
,"PSR B1257+12","PSR B1257+12 d",195.0149029,12.6823534
"Gaia DR2 2107563271311787136","Kepler-1361","Kepler-1361 b",283.5653603,46.9042278
,"KMT-2021-BLG-2609L","KMT-2021-BLG-2609L b",263.5188750,-27.5969389
"Gaia DR2 2127828988601389440","Kepler-148","Kepler-148 c",289.7861626,46.8588176
"Gaia DR2 2107285644626768640","Kepler-735","Kepler-735 b",284.6888328,46.1721391
"Gaia DR2 2128268380936413568","Kepler-217","Kepler-217 b",293.0377331,46.2775223
"Gaia DR2 6296703260330865536","HD 125612","HD 125612 d",215.2227183,-17.4818147
"Gaia DR2 2079804588446924672","Kepler-832","Kepler-832 b",295.9261101,45.3838690
"Gaia DR2 2075412451819530624","Kepler-965","Kepler-965 b",298.5153169,41.8912305
"Gaia DR2 2127953233416258432","Kepler-1634","Kepler-1634 b",294.0433990,45.1398201
"Gaia DR2 689268759823937280","K2-187","K2-187 e",132.5235618,23.1924709
"Gaia DR2 2129273849959814656","Kepler-227","Kepler-227 b",291.9342748,48.1416760
"Gaia DR2 2085337502756644224","Kepler-979","Kepler-979 b",300.3712023,46.4081872
"Gaia DR2 2134956572729225728","Kepler-1861","Kepler-1861 b",295.8465148,49.9361586
"Gaia DR2 2919151080524391552","HATS-41","HATS-41 b",103.5173558,-27.0504156
"Gaia DR2 2103392720630278656","Kepler-1656","Kepler-1656 b",284.4722473,39.9118890
